#{"t_start": 1607735214.9873712, "env_id": null}
r,l,t
-1994.489634,143,167.329707
-1984.355571,134,167.452144
-2400.213819,149,167.5891
-2216.273253,129,167.707737
-2081.141298,150,167.84132
-2457.510168,113,167.948311
-2519.337226,143,168.077363
-1885.74009,148,168.210637
-1439.223486,123,168.325338
-2726.123087,136,168.44786
-1966.128869,146,168.577276
-2657.520002,146,168.709175
-1663.070284,128,169.742241
-3134.887607,137,169.875012
-1314.379784,142,170.007642
-2344.486679,116,170.118637
-2031.849643,150,170.256267
-1721.361491,145,170.393567
-1370.431427,133,170.527788
-2339.721737,129,170.647674
-2424.910785,154,170.792325
-2517.276762,145,170.924369
-1583.744533,135,171.047137
-2333.236818,154,171.183541
-2564.512498,139,171.309177
-2624.236619,120,171.42072
-2147.99115,141,171.547246
-2201.202359,158,172.605674
-3001.909107,128,172.730878
-1913.583964,139,172.857238
-1888.424844,192,173.019383
-2478.893047,143,173.147308
-1860.325185,140,173.272515
-1971.470946,149,173.406257
-1837.786968,132,173.527127
-2413.273977,156,173.664209
-1885.655523,119,173.775434
-1697.303845,143,173.904846
-2375.380562,135,174.027929
-1930.749668,143,174.156098
-1821.306235,146,174.286234
